Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid Location
3814662643e1bbb46c1a8300f2f84e91ba7fc080,06/17/2022 11:30:00 PM,06/17/2022 11:30:00 PM,359,1.4,,,46.0,43.0,7.5,0.0,4.46,11.96,0,1,41.74124273,-87.5514282,POINT (-87.551428197 41.7412427285),41.76157791,-87.57278199,POINT (-87.5727819867 41.7615779081)
3e3964d72c5d0484d2b26ce73f54435f9dd10d7e,06/17/2022 11:30:00 PM,06/17/2022 11:45:00 PM,1067,7.0,17031150300.0,,15.0,,22.5,0.0,4.16,26.66,0,1,41.96051822,-87.76228598,POINT (-87.7622859818 41.9605182177),,,
4579090b415438b31f5df53a891f04f6091e10cf,06/17/2022 11:30:00 PM,06/17/2022 11:45:00 PM,548,1.5,17031063302.0,17031832000.0,6.0,6.0,20.0,4.0,0.0,24.0,0,1,41.93476246,-87.63985386,POINT (-87.6398538587 41.9347624564),41.94629454,-87.65429808,POINT (-87.6542980837 41.9462945357)
4d546f676e254402a9f29216efd7d7ae2dd954c3,06/17/2022 11:30:00 PM,06/17/2022 11:30:00 PM,206,0.9,17031833100.0,17031838100.0,28.0,28.0,15.0,0.0,2.91,17.91,0,1,41.87906699,-87.65700503,POINT (-87.657005027 41.8790669938),41.87866742,-87.67165362,POINT (-87.6716536214 41.8786674201)
545c7cbfe67fbea8c7fadc1da87637f38c3b5842,06/17/2022 11:30:00 PM,06/17/2022 11:30:00 PM,745,4.0,17031833000.0,17031832200.0,28.0,22.0,25.0,0.0,1.28,26.28,0,1,41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),41.92045151,-87.67995477,POINT (-87.6799547678 41.9204515116)
5a38da43031977b6f030cd95d45cc67c7bef397a,06/17/2022 11:30:00 PM,06/17/2022 11:45:00 PM,686,2.7,17031242200.0,17031081800.0,24.0,8.0,25.0,0.0,3.09,28.09,0,1,41.8995898,-87.67471913,POINT (-87.6747191345 41.8995897957),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595)
60b47ee59c3dcf1bc1ab87be39404e58f575ae4f,06/17/2022 11:30:00 PM,06/17/2022 11:30:00 PM,241,0.7,17031070200.0,17031063000.0,7.0,6.0,17.5,0.0,3.51,21.01,0,1,41.92907766,-87.64629348,POINT (-87.6462934762 41.9290776551),41.93631013,-87.65156259,POINT (-87.6515625922 41.9363101308)
66d7535c5a6ea950fb78de0d3ed291345d1dde06,06/17/2022 11:30:00 PM,06/17/2022 11:45:00 PM,850,2.8,17031241500.0,17031836700.0,24.0,23.0,15.0,0.0,3.42,18.42,0,1,41.90837867,-87.67094508,POINT (-87.6709450752 41.9083786693),41.89169705,-87.70210525,POINT (-87.7021052472 41.8916970451)
6e0bba6e1a42d9dc8b3772d5ba20a34a2ef08df9,06/17/2022 11:30:00 PM,06/18/2022 12:45:00 AM,4368,68.3,17031980000.0,,76.0,,102.5,30.0,19.8,152.3,0,1,41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201),,,
7518a3d147825ce8bef40ff70e5cd30a4a827cf0,06/17/2022 11:30:00 PM,06/18/2022 12:00:00 AM,1764,16.7,17031980000.0,17031031200.0,76.0,3.0,57.5,12.0,6.28,75.78,0,1,41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201),41.97270955,-87.65734111,POINT (-87.6573411073 41.9727095466)
